iter	RMSE
0	0.3967109947
1	0.3941563507
2	0.3916771958
3	0.3890265482
4	0.3865161838
5	0.383820231
6	0.3814951552
7	0.3791716956
8	0.3768518792
9	0.3744721703
10	0.3720475486
11	0.3698595644
12	0.3675536024
13	0.3652313443
14	0.3630367988
15	0.3607646531
16	0.3583255239
17	0.3560085366
18	0.3539705793
19	0.3518828299
20	0.3496035859
21	0.3474662822
22	0.3455154694
23	0.3431953617
24	0.3412966977
25	0.3393161443
26	0.3371429588
27	0.3351691254
28	0.333033866
29	0.3310829519
30	0.3290144964
31	0.3272117792
32	0.3252533547
33	0.3232830603
34	0.3213364384
35	0.3194235706
36	0.3175048608
37	0.3156102366
38	0.3137178857
39	0.311890492
40	0.3100263218
41	0.3081941079
42	0.3063864537
43	0.3047145969
44	0.3030481806
45	0.3013428136
46	0.2995799011
47	0.2978582061
48	0.2960569015
49	0.2944834403
50	0.2929330881
51	0.2913738597
52	0.289763375
53	0.2882006277
54	0.2866298074
55	0.2849952974
56	0.2834195076
57	0.2817997919
58	0.2802650894
59	0.2788309338
60	0.2773341425
61	0.2759745737
62	0.2744768417
63	0.2730672067
64	0.2715941669
65	0.2702379426
66	0.2688822092
67	0.267425941
68	0.2660794103
69	0.2648070172
70	0.2634213094
71	0.262107628
72	0.2607396133
73	0.2593943186
74	0.258137661
75	0.256848956
76	0.2556528974
77	0.2544043634
78	0.2531665263
79	0.2519980295
80	0.250794344
81	0.2496200206
82	0.2483261234
83	0.2472384177
84	0.2460791427
85	0.2448024778
86	0.2436802497
87	0.2425778705
88	0.241561338
89	0.2405368485
90	0.2394844895
91	0.2382927643
92	0.2371645636
93	0.2359940166
94	0.23502807
95	0.2339310474
96	0.2328702477
97	0.231809355
98	0.2307845667
99	0.2298176831
100	0.2288551766
101	0.2278552642
102	0.2268203545
103	0.2258093805
104	0.2249458655
105	0.2239134272
106	0.2229863187
107	0.2219698125
108	0.2210658543
109	0.2201300944
110	0.2192065853
111	0.2181545728
112	0.2172160611
113	0.2163350687
114	0.2154154292
115	0.2144958985
116	0.2135445927
117	0.2126536284
118	0.2117785201
119	0.2109603204
120	0.2101880086
121	0.2092794867
122	0.20841455
123	0.2075343278
124	0.2067000028
125	0.2058589707
126	0.2051246139
127	0.2043555318
128	0.2036382377
129	0.2028302703
130	0.2021118468
131	0.2014507808
132	0.2006675135
133	0.1998086299
134	0.1990598286
135	0.1983249297
136	0.1975723551
137	0.1968809792
138	0.1961220236
139	0.1953925375
140	0.1946902956
141	0.193980813
142	0.1932771523
143	0.1925228738
144	0.1918418459
145	0.1911906591
146	0.190480234
147	0.1898712539
148	0.1892120116
149	0.1885242062
150	0.1878773318
151	0.1872350062
152	0.1866384356
153	0.1860004188
154	0.1854168423
155	0.1847457237
156	0.1841716761
157	0.183587468
158	0.1829248712
159	0.1822707594
160	0.1816558728
161	0.1810877789
162	0.1805854831
163	0.1799787009
164	0.1793745952
165	0.1788371484
166	0.1782056305
167	0.1776558012
168	0.1771302715
169	0.1765290219
170	0.1759643604
171	0.1753946571
172	0.174858644
173	0.1743655348
174	0.1738164544
175	0.1732753246
176	0.1727736686
177	0.1722347562
178	0.1717383197
179	0.1712594191
180	0.1707251741
181	0.1701246783
182	0.1695952903
183	0.169096363
184	0.168618742
185	0.1681825963
186	0.1677392813
187	0.1672581249
188	0.1668392649
189	0.166398125
190	0.165943388
191	0.1655302706
192	0.165126249
193	0.1646926817
194	0.1642190044
195	0.1638009117
196	0.1633994932
197	0.1629186965
198	0.1624622998
199	0.162062608
200	0.1616723292
201	0.1612641492
202	0.1608224731
203	0.1604101117
204	0.1599952147
205	0.1595539197
206	0.1591299356
207	0.1586722415
208	0.1582322301
209	0.1579009634
