iter	Passed	Remaining
0	10	54356
1	13	32577
2	14	24919
3	16	21062
4	18	18582
5	20	17063
6	22	16156
7	24	15157
8	26	14452
9	27	13934
10	29	13487
11	32	13303
12	33	12946
13	35	12546
14	36	12227
15	38	12091
16	40	11982
17	42	11703
18	43	11468
19	45	11334
20	47	11217
21	49	11182
22	50	10997
23	52	10873
24	54	10759
25	55	10612
26	57	10507
27	58	10381
28	59	10283
29	61	10191
30	62	10078
31	64	9999
32	65	9928
33	67	9855
34	68	9773
35	70	9732
36	72	9669
37	73	9613
38	74	9535
39	76	9463
40	78	9528
41	80	9506
42	82	9476
43	83	9449
44	85	9393
45	87	9387
46	89	9409
47	90	9355
48	91	9295
49	93	9252
50	94	9215
51	96	9174
52	97	9143
53	99	9102
54	100	9064
55	102	9053
56	104	9068
57	106	9041
58	107	9009
59	108	8972
60	110	8937
61	111	8911
62	113	8890
63	114	8860
64	116	8836
65	117	8807
66	119	8801
67	121	8790
68	122	8758
69	123	8726
70	125	8698
71	126	8678
72	128	8657
73	129	8632
74	131	8609
75	132	8583
76	133	8559
77	135	8567
78	137	8546
79	138	8527
80	140	8510
81	141	8490
82	143	8479
83	144	8463
84	146	8493
85	148	8476
86	149	8459
87	151	8454
88	153	8442
89	154	8425
90	155	8408
91	157	8385
92	158	8372
93	160	8358
94	161	8357
95	163	8334
96	164	8316
97	166	8305
98	167	8298
99	169	8287
100	170	8271
101	171	8254
102	173	8243
103	175	8239
104	176	8228
105	177	8216
106	179	8210
107	181	8200
108	182	8193
109	184	8197
110	186	8207
111	187	8196
112	189	8182
113	190	8168
114	192	8157
115	193	8150
116	195	8143
117	196	8134
118	198	8125
119	199	8108
120	201	8116
121	203	8137
122	205	8132
123	206	8123
124	208	8124
125	210	8133
126	211	8124
127	213	8118
128	214	8113
129	216	8105
130	217	8100
131	220	8136
132	223	8172
133	225	8186
134	227	8185
135	228	8176
136	230	8164
137	231	8159
138	233	8163
139	236	8200
140	239	8237
141	241	8245
142	242	8251
143	246	8305
144	264	8857
145	272	9071
146	275	9084
147	280	9185
148	284	9251
149	285	9234
150	286	9214
151	288	9196
152	289	9186
153	291	9171
154	292	9153
155	294	9140
156	295	9120
157	297	9104
158	298	9101
159	300	9091
160	301	9075
161	303	9063
162	304	9047
163	306	9034
164	307	9021
165	309	9006
166	310	8992
167	312	8978
168	313	8965
169	315	8960
170	316	8948
171	318	8932
172	319	8921
173	321	8913
174	322	8904
175	324	8895
176	326	8885
177	327	8872
178	329	8862
179	330	8858
180	332	8856
181	334	8842
182	335	8838
183	337	8823
184	338	8813
185	340	8804
186	341	8795
187	343	8786
188	344	8778
189	346	8763
190	347	8749
191	349	8740
192	350	8733
193	352	8729
194	354	8723
195	355	8714
196	358	8728
197	360	8735
198	361	8728
199	363	8727
200	365	8725
201	367	8717
202	368	8709
203	370	8704
204	371	8693
205	373	8688
206	374	8678
207	376	8672
208	377	8661
209	379	8654
210	380	8644
211	382	8634
212	383	8626
213	385	8617
214	386	8610
215	388	8600
216	389	8591
217	391	8580
218	392	8569
219	393	8559
220	395	8550
221	396	8542
222	398	8533
223	399	8525
224	401	8516
225	402	8509
226	404	8499
227	405	8492
228	407	8486
229	408	8479
230	410	8470
231	411	8460
232	413	8454
233	414	8443
234	415	8434
235	417	8429
236	418	8420
237	420	8414
238	421	8405
239	423	8396
240	424	8390
241	426	8381
242	427	8373
243	429	8372
244	432	8389
245	433	8383
246	435	8374
247	436	8366
248	437	8356
249	439	8353
250	441	8347
251	442	8337
252	443	8329
253	445	8325
254	446	8316
255	448	8316
256	450	8311
257	452	8312
258	453	8303
259	455	8295
260	456	8289
261	458	8287
262	459	8285
263	461	8278
264	463	8283
265	465	8281
266	466	8274
267	468	8269
268	470	8266
269	471	8259
